Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
104,2023/06/11,CUST104,Female,34,Beauty,2,500,1000
105,2023/07/25,CUST105,Female,22,Electronics,1,500,500
106,2023/05/18,CUST106,Female,46,Clothing,1,50,50
107,2023/02/03,CUST107,Female,21,Clothing,4,300,1200
108,2023/04/19,CUST108,Female,27,Beauty,3,25,75
109,2023/10/18,CUST109,Female,34,Electronics,4,500,2000
110,2023/06/11,CUST110,Male,27,Clothing,3,300,900
111,2023/04/19,CUST111,Female,34,Electronics,3,500,1500
112,2023/12/02,CUST112,Male,37,Clothing,3,500,1500
113,2023/09/13,CUST113,Female,41,Electronics,2,25,50
114,2023/07/22,CUST114,Female,22,Beauty,4,25,100
115,2023/11/26,CUST115,Male,51,Clothing,3,500,1500
116,2023/08/23,CUST116,Female,23,Clothing,1,30,30
117,2023/03/15,CUST117,Male,19,Electronics,2,500,1000
118,2023/05/16,CUST118,Female,30,Electronics,4,500,2000
119,2023/03/13,CUST119,Female,60,Clothing,3,50,150
120,2023/05/07,CUST120,Male,60,Beauty,1,50,50
121,2023/10/15,CUST121,Female,28,Electronics,4,50,200
122,2023/10/03,CUST122,Male,64,Electronics,4,30,120
123,2023/05/15,CUST123,Female,40,Electronics,2,30,60
124,2023/10/27,CUST124,Male,33,Clothing,4,500,2000
125,2023/08/08,CUST125,Male,48,Clothing,2,50,100
